Chassis_location,Chassis_hostname,Chassis_serial_num,OA1_name,OA1_ip,OA2_name,OA2_ip,Chassis_bay,Bay_empty,Bay_hostname,Bay_ip,ILO_type,ILO_fw,Blade_hostname,Blade_serial_num,Blade_status,Power_state,Blade_type
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 1, N, ieatc7000-344b1ilo.athtem.eei.ericsson.se, 10.232.63.10, iLO4, 2.77, ieatosk6610, CZ36114MEH, OK, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 2, N, ieatc7000-344b2ilo.athtem.eei.ericsson.se, 10.232.63.11, iLO4, 2.77, ieatosk6611, CZ36114MET, OK, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 3, N, ieatc7000-344b3ilo.athtem.eei.ericsson.se, 10.232.63.12, iLO4, 2.77, ieatosk6612, CZ36114MFS, OK, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 4, N, ieatc7000-344b4ilo.athtem.eei.ericsson.se, 10.232.63.13, iLO4, 2.77, ieatosk6613, CZ36114MH2, Degraded, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 5, N, ieatc7000-344b5ilo.athtem.eei.ericsson.se, 10.232.63.14, iLO4, 2.77, ieatosk6614, CZ36114MHX, OK, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 6, N, ieatc7000-344b6ilo.athtem.eei.ericsson.se, 10.232.63.15, iLO4, 2.77, ieatosk6615, CZ36114MJ9, Degraded, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 7, N, ieatc7000-344b7ilo.athtem.eei.ericsson.se, 10.232.63.16, iLO4, 2.77, ieatosk6616, CZ36114MKJ, OK, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 8, N, ieatc7000-344b8ilo.athtem.eei.ericsson.se, 10.232.63.17, iLO4, 2.77, ieatosk4328, CZ3601V30Y, OK, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 9, N, ieatc7000-344b9ilo.athtem.eei.ericsson.se, 10.232.63.18, iLO4, 2.77, ieatosk6618, CZ36114MF7, OK, ON, ProLiant BL460c Gen9
IEAT01-00-0012/07*016, ieatc7000-344, CZ36114MEB, IEATC7000-344oa1, 10.232.63.4, IEATC7000-344oa2, 10.232.63.5, 10, N, ieatc7000-344b10ilo.athtem.eei.ericsson.se, 10.232.63.19, iLO4, 2.77, ieatosk6619, CZ36114MFE, OK, ON, ProLiant BL460c Gen9
